store_id,store_name,location_name
85,PRISMAURAI ,"Rua Engenheiro Enaldo Cravo Peixoto, Tijuca, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 20530-230, Brasil"
88,EUGUSMI ,"Rua Engenheiro Enaldo Cravo Peixoto, Tijuca, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 20530-230, Brasil"
89,LIS URPIMIOUS ,"Rua Engenheiro Enaldo Cravo Peixoto, Tijuca, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 20530-230, Brasil"
90,CISI DA POI EU QUASI ,"Rua Engenheiro Enaldo Cravo Peixoto, Tijuca, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 20530-230, Brasil"
95,ARE TRAMUO ,"Rua Engenheiro Enaldo Cravo Peixoto, Tijuca, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 20530-230, Brasil"
96,PIRMI DA SIPIR ,"Estacionamento - Bloco 4, Avenida Mario Veiga de Almeida, Barra da Tijuca, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 22640-032, Brasil"
99,SIRVUMU AMILAI ,"Rua Engenheiro Enaldo Cravo Peixoto, Tijuca, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 20530-230, Brasil"
100,LUPIMUIM ,"Rua Engenheiro Enaldo Cravo Peixoto, Tijuca, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 20530-230, Brasil"
122,MASUCIE,Coordenadas ausentes
141,RO PRISMAUS ,"Rua Engenheiro Enaldo Cravo Peixoto, Tijuca, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 20530-230, Brasil"
144,CIRIROI U CAI ,"Rua Engenheiro Enaldo Cravo Peixoto, Tijuca, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 20530-230, Brasil"
149,IUMPICA ,"Rua Engenheiro Enaldo Cravo Peixoto, Tijuca, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 20530-230, Brasil"
164,CLUPU RULASSI ,"Rua Engenheiro Enaldo Cravo Peixoto, Tijuca, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 20530-230, Brasil"
187,LUCITA ,"Brilhauto, 4977, Avenida Dom Hélder Câmara, Cachambi, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 20771-001, Brasil"
189,USPUMUI CIRAICI ,"Brilhauto, 4977, Avenida Dom Hélder Câmara, Cachambi, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 20771-001, Brasil"
191,AR PAZZI ,"Brilhauto, 4977, Avenida Dom Hélder Câmara, Cachambi, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 20771-001, Brasil"
228,PUGUM ,"Avenida Maracanã, Tijuca, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 20511-120, Brasil"
232,RIARI SIARI ,"17250, Avenida das Américas, Recreio dos Bandeirantes, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 22790-570, Brasil"
236,IUMPICA ,"Brilhauto, 4977, Avenida Dom Hélder Câmara, Cachambi, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 20771-001, Brasil"
245,SUPSIO ,"Praia de Botafogo, Botafogo, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 22250-150, Brasil"
261,AR TRAMUO ,"Praia de Botafogo, Botafogo, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 22250-150, Brasil"
264,EMUOUS,"Avenida Maracanã, Tijuca, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 20511-120, Brasil"
274,IUMPICA ,"17250, Avenida das Américas, Recreio dos Bandeirantes, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 22790-570, Brasil"
294,PAPA SUCIS ,"Brilhauto, 4977, Avenida Dom Hélder Câmara, Cachambi, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 20771-001, Brasil"
295,AIEMAMIMU IU PRUSEM,"Rua Engenheiro Enaldo Cravo Peixoto, Tijuca, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 20530-230, Brasil"
311,RISA PUM ,"Brilhauto, 4977, Avenida Dom Hélder Câmara, Cachambi, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 20771-001, Brasil"
321,IUMPICA ,"Rua Sena Madureira, Vila Mariana, São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, Região Geográfica Intermediária de São Paulo, São Paulo, Região Sudeste, 04119-000, Brasil"
339,ARE TRAMUO ,"Rua Sena Madureira, Vila Mariana, São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, Região Geográfica Intermediária de São Paulo, São Paulo, Região Sudeste, 04119-000, Brasil"
342,PIARIS,Coordenadas ausentes
345,ZIM ME MUMEUR ,"Brilhauto, 4977, Avenida Dom Hélder Câmara, Cachambi, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 20771-001, Brasil"
356,SPILUMI ,"Rua Leão Coroado, Vila Beatriz, Alto de Pinheiros, São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, Região Geográfica Intermediária de São Paulo, São Paulo, Região Sudeste, 05445-050, Brasil"
357,PILIOU RAS ,"Shopping Millennium, 7707, Avenida das Américas, Américas Park, Barra da Tijuca, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 22793-081, Brasil"
361,IPUPIEMAI ,"Shopping Millennium, 7707, Avenida das Américas, Américas Park, Barra da Tijuca, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 22793-081, Brasil"
365,CIRILAMI SILUS ,"Avenida Luís Carlos Prestes, Barra da Tijuca, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 22640-120, Brasil"
366,AR TRAMUO ,"Avenida Luís Carlos Prestes, Barra da Tijuca, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 22640-120, Brasil"
367,MIUMSAU ,"Avenida Luís Carlos Prestes, Barra da Tijuca, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 22640-120, Brasil"
370,PAZZI ZUM ,"Avenida Luís Carlos Prestes, Barra da Tijuca, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 22640-120, Brasil"
371,LUCITA ,"Avenida Luís Carlos Prestes, Barra da Tijuca, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 22640-120, Brasil"
373,CRUPULICOS ,"Avenida Luís Carlos Prestes, Barra da Tijuca, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 22640-120, Brasil"
377,RIRURPIS,"Shopping Millennium, 7707, Avenida das Américas, Américas Park, Barra da Tijuca, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 22793-081, Brasil"
378,OURAMIES ,"Rua Leão Coroado, Vila Beatriz, Alto de Pinheiros, São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, Região Geográfica Intermediária de São Paulo, São Paulo, Região Sudeste, 05445-050, Brasil"
383,ACA PRISSURAU ,"Rua Leão Coroado, Vila Beatriz, Alto de Pinheiros, São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, Região Geográfica Intermediária de São Paulo, São Paulo, Região Sudeste, 05445-050, Brasil"
387,REMFRUMIS ,"Shopping Millennium, 7707, Avenida das Américas, Américas Park, Barra da Tijuca, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 22793-081, Brasil"
390,PAZZI ZUM ,"Rua Sena Madureira, Vila Mariana, São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, Região Geográfica Intermediária de São Paulo, São Paulo, Região Sudeste, 04119-000, Brasil"
391,FAIARUMUI ,"Avenida Luís Carlos Prestes, Barra da Tijuca, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 22640-120, Brasil"
399,PIARO ,"Leroy Merlin, Rua Degas, Cachambi, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 20771-580, Brasil"
406,GARIOLIS ,"Shopping Millennium, 7707, Avenida das Américas, Américas Park, Barra da Tijuca, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 22793-081, Brasil"
409,RC OUMILEES ,"17398, Avenida das Américas, Recreio dos Bandeirantes, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 22790-570, Brasil"
414,SPILUMI ,"Brilhauto, 4977, Avenida Dom Hélder Câmara, Cachambi, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 20771-001, Brasil"
415,IPUPIEMAI ,"Rua Engenheiro Enaldo Cravo Peixoto, Tijuca, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 20530-230, Brasil"
416,IUMPICA ,"Shopping Villa Lobos, 4777, Avenida Doutora Ruth Cardoso, Boaçava, Alto de Pinheiros, São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, Região Geográfica Intermediária de São Paulo, São Paulo, Região Sudeste, 05477-902, Brasil"
417,IUMPICA ,"Avenida Luís Carlos Prestes, Barra da Tijuca, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 22640-120, Brasil"
426,ZIM M MUMEUR ,"Avenida Luís Carlos Prestes, Barra da Tijuca, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 22640-120, Brasil"
430,PIR DA ILUROI ,"Shopping Villa Lobos, 4777, Avenida Doutora Ruth Cardoso, Boaçava, Alto de Pinheiros, São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, Região Geográfica Intermediária de São Paulo, São Paulo, Região Sudeste, 05477-902, Brasil"
435,SUSM GRALA,"17398, Avenida das Américas, Recreio dos Bandeirantes, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 22790-570, Brasil"
439,CILAFIRMAI CIOLA ,"17398, Avenida das Américas, Recreio dos Bandeirantes, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 22790-570, Brasil"
446,SIRLE FRA ,"Avenida Luís Carlos Prestes, Barra da Tijuca, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 22640-120, Brasil"
447,PA PISACI ,"Shopping Villa Lobos, 4777, Avenida Doutora Ruth Cardoso, Boaçava, Alto de Pinheiros, São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, Região Geográfica Intermediária de São Paulo, São Paulo, Região Sudeste, 05477-902, Brasil"
453,IRULAU CRUPURAU ,"Avenida Luís Carlos Prestes, Barra da Tijuca, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 22640-120, Brasil"
462,CIFUAMI ,"Praia de Botafogo, Botafogo, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 22250-150, Brasil"
476,PIARI FLIRUS ,"Avenida Luís Carlos Prestes, Barra da Tijuca, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 22640-120, Brasil"
482,GIPUMZIGUM OPASI RIUSARI CIREARA ,"Hospital Beneficência Portuguesa, 769, Rua Maestro Cardim, Morro dos Ingleses, Bela Vista, São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, Região Geográfica Intermediária de São Paulo, São Paulo, Região Sudeste, 01323-001, Brasil"
490,MATATA ,"Shopping Millennium, 7707, Avenida das Américas, Américas Park, Barra da Tijuca, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 22793-081, Brasil"
491,I CISI DA PAMPE ,"17398, Avenida das Américas, Recreio dos Bandeirantes, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 22790-570, Brasil"
493,PAZZI ZUM ,"Hospital Beneficência Portuguesa, 769, Rua Maestro Cardim, Morro dos Ingleses, Bela Vista, São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, Região Geográfica Intermediária de São Paulo, São Paulo, Região Sudeste, 01323-001, Brasil"
495,IUMPICA ,"323, Rua Pedroso, Morro dos Ingleses, Bela Vista, São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, Região Geográfica Intermediária de São Paulo, São Paulo, Região Sudeste, 01322-010, Brasil"
496,IUMPICA ,"Shopping Cidade São Paulo, Rua São Carlos do Pinhal, Morro dos Ingleses, Bela Vista, São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, Região Geográfica Intermediária de São Paulo, São Paulo, Região Sudeste, 01405-000, Brasil"
497,CISI DA URPIOU ,"Leroy Merlin, Rua Degas, Cachambi, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 20771-580, Brasil"
501,RISIRA ,"Hospital Beneficência Portuguesa, 769, Rua Maestro Cardim, Morro dos Ingleses, Bela Vista, São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, Região Geográfica Intermediária de São Paulo, São Paulo, Região Sudeste, 01323-001, Brasil"
508,GROI USPRUSSI ,"Avenida Luís Carlos Prestes, Barra da Tijuca, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 22640-120, Brasil"
515,GULIMURAI RE ,"Praia de Botafogo, Botafogo, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 22250-150, Brasil"
520,IRIR OIS PUOUMIS ,"Shopping Cidade São Paulo, Rua São Carlos do Pinhal, Morro dos Ingleses, Bela Vista, São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, Região Geográfica Intermediária de São Paulo, São Paulo, Região Sudeste, 01405-000, Brasil"
524,ILA RIERUGI ,"Aguiarcycles, 1092, Rua Mariante, Rio Branco, Porto Alegre, Região Geográfica Imediata de Porto Alegre, Região Metropolitana de Porto Alegre, Região Geográfica Intermediária de Porto Alegre, Rio Grande do Sul, Região Sul, 90420-150, Brasil"
525,PUCIRAMI  ,"Hospital Beneficência Portuguesa, 769, Rua Maestro Cardim, Morro dos Ingleses, Bela Vista, São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, Região Geográfica Intermediária de São Paulo, São Paulo, Região Sudeste, 01323-001, Brasil"
529,GULIMURAI RE ,"Avenida Luís Carlos Prestes, Barra da Tijuca, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 22640-120, Brasil"
531,CISUMPES ,"17398, Avenida das Américas, Recreio dos Bandeirantes, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 22790-570, Brasil"
532,SIRLE FRA ,"Avenida Dom Hélder Câmara, Cachambi, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 20771-001, Brasil"
540,UMIG ,"Shopping Millennium, 7707, Avenida das Américas, Américas Park, Barra da Tijuca, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 22793-081, Brasil"
545,IAMUR ,"Aguiarcycles, 1092, Rua Mariante, Rio Branco, Porto Alegre, Região Geográfica Imediata de Porto Alegre, Região Metropolitana de Porto Alegre, Região Geográfica Intermediária de Porto Alegre, Rio Grande do Sul, Região Sul, 90420-150, Brasil"
555,RIGU I CIGU ,"Avenida Luís Carlos Prestes, Barra da Tijuca, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 22640-120, Brasil"
563,MZU PLICA PAF ,"525, Avenida Protásio Alves, Rio Branco, Porto Alegre, Região Geográfica Imediata de Porto Alegre, Região Metropolitana de Porto Alegre, Região Geográfica Intermediária de Porto Alegre, Rio Grande do Sul, Região Sul, 90630-160, Brasil"
564,PUMGUA ,"Avenida Luís Carlos Prestes, Barra da Tijuca, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 22640-120, Brasil"
582,SPILUMI ,"Hotel Ramada, 19021, Avenida das Américas, Recreio dos Bandeirantes, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 22790-703, Brasil"
585,MUMRIFAM ,"Shopping Villa Lobos, 4777, Avenida Doutora Ruth Cardoso, Boaçava, Alto de Pinheiros, São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, Região Geográfica Intermediária de São Paulo, São Paulo, Região Sudeste, 05477-902, Brasil"
586,GULIMI PIRULA ,"Shopping Cidade São Paulo, Rua São Carlos do Pinhal, Morro dos Ingleses, Bela Vista, São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, Região Geográfica Intermediária de São Paulo, São Paulo, Região Sudeste, 01405-000, Brasil"
587,PIARO ,"Rua Engenheiro Enaldo Cravo Peixoto, Tijuca, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 20530-230, Brasil"
590,VUG UP ,"Avenida Luís Carlos Prestes, Barra da Tijuca, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 22640-120, Brasil"
591,MZU SUACU LIP ,"Morumbi Shopping, 1089, Avenida Roque Petroni Júnior, Santo Amaro, São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, Região Geográfica Intermediária de São Paulo, São Paulo, Região Sudeste, 04707-900, Brasil"
595,ZIVIMUI ,"Morumbi Shopping, 1089, Avenida Roque Petroni Júnior, Santo Amaro, São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, Região Geográfica Intermediária de São Paulo, São Paulo, Região Sudeste, 04707-900, Brasil"
599,LIFM ,"Shopping Villa Lobos, 4777, Avenida Doutora Ruth Cardoso, Boaçava, Alto de Pinheiros, São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, Região Geográfica Intermediária de São Paulo, São Paulo, Região Sudeste, 05477-902, Brasil"
